player,pos,sleeper,underdog,espn,ffc
Amon-Ra St. Brown,WR,8.1,7.1,8.2,7.8
CeeDee Lamb,WR,10.6,9.6,10.6,13.4
Justin Jefferson,WR,12.4,10.4,12.0,14.4
Drake London,WR,14.1,21.1,19.0,10.5
A.J. Brown,WR,19.4,18.7,27.0,18.8
Rashee Rice,WR,22.7,25.1,22.7,13.0
George Pickens,WR,23.1,23.5,28.1,20.9
Nico Collins,WR,25.2,22.7,27.7,23.1
Chris Olave,WR,26.4,30.3,35.1,22.9
Malik Nabers,WR,27.3,25.9,37.5,35.5
Tee Higgins,WR,35.5,34.2,57.2,38.4
Tetairoa McMillan,WR,37.3,39.0,40.8,36.2
Garrett Wilson,WR,40.9,40.1,35.8,29.8
Luther Burden III,WR,41.1,43.2,76.2,54.4
Ladd McConkey,WR,41.9,34.7,52.6,48.0
Zay Flowers,WR,43.8,30.1,43.2,25.7
DeVonta Smith,WR,44.9,27.5,38.9,32.4
Emeka Egbuka,WR,45.8,31.5,44.1,33.1
Jaylen Waddle,WR,46.2,39.0,59.3,51.3
Davante Adams,WR,46.9,51.3,46.7,40.0
Jameson Williams,WR,51.6,52.1,66.7,41.9
Terry McLaurin,WR,56.6,44.9,61.3,42.6
Mike Evans,WR,57.8,48.2,90.8,61.1
DJ Moore,WR,59.3,55.8,70.7,49.4
Carnell Tate,WR,62.9,59.5,69.5,74.0
Rome Odunze,WR,64.2,59.9,71.6,44.5
Christian Watson,WR,68.4,57.3,100.6,64.4
Jordyn Tyson,WR,69.0,64.1,97.9,84.8
Brian Thomas Jr.,WR,69.6,62.5,104.3,77.0
DK Metcalf,WR,74.4,76.1,87.7,64.7
Marvin Harrison Jr.,WR,75.8,68.4,91.1,62.7
Makai Lemon,WR,76.6,74.0,113.0,99.8
Courtland Sutton,WR,77.9,84.6,85.4,58.5
Michael Wilson,WR,80.2,94.0,103.8,89.5
Parker Washington,WR,83.2,62.5,102.5,70.6
Alec Pierce,WR,83.6,81.5,95.7,48.1
Jakobi Meyers,WR,87.6,108.3,116.2,73.0
Chris Godwin Jr.,WR,92.6,90.4,144.9,88.3
Jordan Addison,WR,100.7,88.9,122.0,86.3
Quentin Johnston,WR,102.6,74.7,142.3,83.2
Michael Pittman Jr.,WR,102.9,98.6,90.1,77.2
Wan'Dale Robinson,WR,103.0,111.4,116.0,79.2
Romeo Doubs,WR,115.3,116.5,150.1,103.5
Jayden Reed,WR,116.0,81.7,139.3,88.2
Josh Downs,WR,125.1,86.3,122.8,101.8
Stefon Diggs,WR,125.9,125.4,163.9,
Jayden Higgins,WR,131.1,121.9,158.7,134.6
Khalil Shakir,WR,133.8,127.0,135.7,100.9
Matthew Golden,WR,134.1,107.6,106.8,111.2
Xavier Worthy,WR,134.9,100.7,134.3,96.4
Jalen Coker,WR,136.3,127.5,159.5,122.0
