player_id,name,team,clay_rank,clay_ppr,clay_games,carries,rush_yds,rush_td,targets,rec,rec_yds,rec_td,clay_target_share,clay_targ_pct,clay_yards_share
00-0039365,Jacob Cowing,SF,173,1,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0040534,Ke'Shawn Williams,CIN,174,1,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0036331,Devin Duvernay,ARI,175,1,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0040259,Gage Larvadain,CLE,176,1,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0039623,Mason Tipton,NO,177,1,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0040563,Efton Chism III,NE,178,1,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0038090,Skyy Moore,GB,179,0,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0037093,Dareke Young,LV,180,0,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0041100,Josh Cameron,JAX,181,0,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0038640,Jalen Brooks,ARI,182,0,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0036959,Michael Bandy,DEN,183,0,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0039710,Jeshaun Jones,MIN,184,0,17,0,0,0,0,0,0,0,0.0,0.0,0.0
00-0036176,Mason Kinsey,TEN,185,0,17,0,0,0,0,0,0,0,0.0,0.0,0.0
